label,year,month,day,hour,b1_ref,b1_var,b2_ref,b2_var,b3_ref,b3_var,b4_ref,b4_var,b5_ref,b5_var,b6_ref,b6_var,b7_ref,b7_var
1,2011,5,7,17,5.00453856089,0.0409993427105,2.71511789668,0.0179424690432,3.28391125461,0.0578635473918,6.65648690037,0.183594655465,7.36641309963,0.0869750392288,9.39962712177,0.134642592244,3.28488542435,0.0948134192617
1,2009,8,5,17,3.79656808118,0.0362948200052,1.84591494465,0.0158587469261,1.54574889299,0.0791689254231,7.61543523985,0.695923996092,4.66674520295,0.109781152708,8.77299243542,0.104700126428,1.45819538745,0.0776914554677
1,2010,5,20,17,4.43964188192,0.061248431816,2.28526549815,0.0254976892063,2.4766898524,0.0896551675631,5.64103671587,0.227792046908,5.80676734317,0.174777434349,9.02578948339,0.133290198404,2.67103671587,0.176452327351
1,2010,6,5,17,3.83395184502,0.0857720101442,1.86649428044,0.0366832009913,1.51774151292,0.132904590297,9.29563450185,0.687802574815,5.52036143911,0.117478486622,8.85920645756,0.145704925927,1.73108468635,0.136285604553
1,2008,5,30,17,5.82880793358,0.0134210453153,3.22509575646,0.00670035790635,4.47446845018,0.0103112690323,4.55922121771,0.0159651543007,6.95969723247,0.0646186362931,11.4392950185,0.0231723855748,4.56762343173,0.0243123057148
1,2010,5,4,17,5.04642785978,0.0354233353032,2.74251642066,0.01392216533,3.4227304428,0.0633907995806,4.85402933579,0.108022406067,7.44739095941,0.069768376588,10.0293060886,0.013683134271,4.3226197417,0.110899735025
1,2010,6,21,17,4.37997398524,0.206101965292,2.35418800738,0.139960529146,2.33117324723,0.357894620825,8.80026918819,2.80855683078,6.73186328413,0.29578422403,10.0726566421,0.199431204532,2.9820404059,0.516532016735
1,2008,8,2,17,3.79376734317,0.0538984343487,1.89157915129,0.0212419132092,1.51031346863,0.107396254422,9.73815110701,0.742128818412,5.38093339483,0.0642812792446,8.88794446494,0.14822032746,1.56316217712,0.133393699446
1,2009,5,17,17,5.24576734317,0.015899969404,2.79049428044,0.00527499434921,3.8029001845,0.0212086386623,3.90957177122,0.022547509157,5.9637304428,0.0325572313149,11.5652064576,0.065818136259,3.95462712177,0.0193492380006
1,2011,6,24,17,5.2590404059,0.0300463820482,3.0101695572,0.00710034939611,3.49883745387,0.0450462779238,7.35606254613,0.2209418794,8.88002933579,0.0449327381708,11.3880293358,0.0363332547759,4.26392601476,0.0486309579118
1,2011,6,8,17,3.77635405904,0.166230027696,1.84445369004,0.0783967453738,1.60164188192,0.276380180894,9.65583376384,0.798699996637,5.49503302583,0.19016261211,9.0615902214,0.356640404692,1.70076365314,0.295632027083
1,2010,9,25,17,3.65141678967,0.0663130284174,1.88719538745,0.0387004333274,2.10577472325,0.131459920385,5.04886328413,0.225674323661,5.92245,0.0788419926199,9.00240940959,0.0483866035185,2.40545369004,0.0332012361487
1,2009,8,21,17,3.38449428044,0.0462310386296,1.59628394834,0.0221838764859,1.24716586716,0.116757775357,9.29782638376,1.58600240815,4.88593339483,0.0730615928977,8.66583376384,0.125288114718,1.35919538745,0.0716195772389
2,2011,5,7,17,5.55952158351,0.0125412117955,3.08559533623,0.00389168603573,4.27889251627,0.00535388660885,4.25698796095,0.00518466504487,6.70457147505,0.0299408615996,11.3506278742,0.0267908317013,4.46801616052,0.0144605319568
2,2009,8,5,17,3.83049338395,0.0148489872718,2.08099229935,0.00900334148625,1.84505303688,0.0209714628107,7.4693697397,0.121849774469,3.76592505423,0.0389034554515,8.72365607375,0.110494302436,1.20781659436,0.0235019155001
2,2010,5,20,17,5.57097494577,0.195776149595,3.0676994577,0.108014681806,3.95533503254,0.287840223225,4.75234587852,0.22425468764,6.22839793926,0.849058825923,10.0280508677,0.169906894923,3.88532635575,0.522244351306
2,2010,6,5,17,4.14460184382,0.0295676559022,2.05550856833,0.0158508707563,1.86037190889,0.0493262411903,7.18432418655,0.617781320397,5.06530900217,0.0715472707921,9.28444132321,0.136956980402,1.84777321041,0.052586092932
2,2008,5,30,17,5.82724392625,0.0719422850824,3.26326561822,0.0353681677387,4.53559099783,0.0738717306619,4.5988708243,0.0685776537095,7.19334370933,0.185369023409,10.5417341649,0.346655825975,4.73072765727,0.100013510759
2,2010,5,4,17,5.38657581345,0.676856617577,2.96805520607,0.36357224327,4.02305303688,0.877034126585,3.95018101952,0.906479580578,5.78787299349,2.74914905535,9.5488708243,0.699659059349,3.88117451193,1.58054424732
2,2010,6,21,17,3.66470596529,0.021109201293,1.75514414317,0.0103923684906,1.33752592191,0.0297719269907,10.2180335141,0.222049232179,4.93316583514,0.14905783899,9.176779718,0.274005253542,1.46322657267,0.044668958757
2,2008,8,2,17,3.68603785249,0.0260689754707,1.79852375271,0.0129558210247,1.37818535792,0.0387974050188,10.1289836226,0.336269155594,5.31012462039,0.0862172390305,9.01757798265,0.204505243924,1.4689532538,0.0675322760198
2,2009,5,17,17,5.69281008677,0.020211974459,3.12138709328,0.00952092662843,4.09835889371,0.0179767986411,4.91269295011,0.0323032815392,6.75897494577,0.0561762710697,10.4870443601,0.0595299981461,4.12913980477,0.0270191250371
2,2011,6,24,17,5.27848470716,0.384903998795,2.88315715835,0.22482867997,3.93257147505,0.523746848584,4.23250639913,0.5947607517,6.17199013015,1.81250109871,10.1852482646,0.753367761906,3.96592939262,1.04910298276
2,2011,6,8,17,5.81221138829,0.0166858693117,3.29075368764,0.00711230690614,4.58612895879,0.0087290943295,4.70381225597,0.00597801410684,7.3698686551,0.0206912715826,12.755812256,0.0378590206144,4.91398145336,0.0110827826332
2,2010,9,25,17,4.40788600868,0.0129522545819,2.33425477223,0.00535802696204,3.20614197397,0.0114026556623,3.21344349241,0.00990298694247,5.13374284165,0.0305567493848,10.2616994577,0.0053604865778,3.37336106291,0.0124568879687
2,2009,8,21,17,5.1126972885,0.0240444247486,2.96046735358,0.00934694980731,4.25498362256,0.0323129560279,5.53189034707,0.0203424980684,8.21455412148,0.0502603622607,10.1498860087,0.0340991699832,3.99356062907,0.0178070441603
3,2011,5,7,17,5.82149397706,0.0152109407046,3.29178843212,0.00747540936427,4.51676357553,0.0151374618998,4.47978843212,0.0162040671081,7.04646912046,0.0242162826172,11.4510542065,0.0251327133284,4.73697390057,0.0163848498112
3,2009,8,5,17,3.68980755258,0.0161622794219,1.78009818356,0.00560200242022,1.63711921606,0.0183100454577,5.75271768642,0.0421945746155,3.90206759082,0.0503747371284,8.9531498088,0.0876915867495,1.37753604207,0.0296681742411
3,2010,5,20,17,6.10997581262,0.0195214424503,3.45723011472,0.00775639333307,4.79729512428,0.0212203412143,4.81395286807,0.019798636225,7.32334101338,0.0732222500722,10.7521861377,0.0213757391721,5.05271386233,0.0321699571453
